district,party,votes,sex,status
1,REP,"116,486",male,incumbent
1,DEM,"41,652",female,challenger
1,LIB,"1,972",male,challenger
2,REP,"100,836",male,challenger
2,DEM,"86,821",male,challenger
2,LIB,"1,379",male,challenger
2,IND,"1,207",male,challenger
3,REP,"139,106",male,challenger
3,DEM,"112,056",female,challenger
3,LIB,"3,072",male,challenger
3,W-I,104,male,challenger
4,REP,"117,343",male,incumbent
4,DEM,"36,414",female,challenger
4,LIB,"1,575",male,challenger
5,REP,"88,915",male,challenger
5,DEM,"54,921",male,challenger
5,W-I,248,male,challenger
6,REP,"100,220",male,challenger
6,DEM,"84,171",female,challenger
6,LIB,"2,368",male,challenger
7,REP,"81,175",male,incumbent
7,DEM,"90,015",female,challenger
8,REP,"140,917",male,incumbent
8,DEM,"46,450",male,challenger
8,LIB,"2,765",male,challenger
9,DEM,"93,883",male,incumbent
9,LIB,"4,233",male,challenger
9,IND,"3,722",male,challenger
9,IND,"3,466",female,challenger
10,REP,"113,518",male,incumbent
10,DEM,"109,725",male,challenger
10,LIB,"3,967",male,challenger
11,REP,"120,991",male,incumbent
11,DEM,"26,663",female,challenger
11,LIB,"1,951",male,challenger
12,REP,"125,892",female,incumbent
12,DEM,"66,916",female,challenger
12,LIB,"3,140",male,challenger
13,REP,"107,211",male,incumbent
13,DEM,"23,161",male,challenger
13,LIB,"1,852",male,challenger
14,REP,"110,385",male,incumbent
14,DEM,"69,798",male,challenger
14,LIB,"2,176",male,challenger
15,REP,"45,434",male,challenger
15,DEM,"70,418",male,incumbent
15,LIB,"1,681",male,challenger
16,REP,"33,100",male,challenger
16,DEM,"84,898",female,challenger
16,IND,"5,409",male,challenger
16,W-I,229,male,challenger
17,REP,"88,172",male,incumbent
17,DEM,"68,601",male,challenger
17,LIB,"2,446",male,challenger
18,REP,"26,185",female,challenger
18,DEM,"95,578",female,incumbent
18,LIB,"2,618",male,challenger
18,IND,"2,232",male,challenger
19,REP,"107,096",female,incumbent
19,DEM,"34,089",male,challenger
20,DEM,"101,871",male,incumbent
20,LIB,"24,805",male,challenger
21,REP,"137,227",male,challenger
21,DEM,"133,942",male,challenger
21,LIB,"4,712",male,challenger
22,REP,"119,693",male,incumbent
22,DEM,"106,443",male,challenger
22,LIB,"2,137",male,challenger
22,IND,"2,233",male,challenger
23,REP,"76,037",male,incumbent
23,DEM,"70,127",female,challenger
23,LIB,"2,643",male,challenger
24,REP,"104,270",male,incumbent
24,DEM,"95,089",female,challenger
24,LIB,"3,150",male,challenger
25,REP,"117,005",male,incumbent
25,DEM,"107,132",male,challenger
25,LIB,"3,017",female,challenger
26,REP,"145,518",male,incumbent
26,DEM,"93,948",female,challenger
26,LIB,"3,279",male,challenger
27,REP,"86,156",male,challenger
27,DEM,"51,752",male,challenger
27,LIB,"1,171",male,challenger
27,IND,"2,601",male,challenger
28,DEM,"79,581",male,incumbent
28,LIB,"15,036",male,challenger
29,REP,"18,405",male,challenger
29,DEM,"55,298",female,challenger
29,LIB,708,male,challenger
29,W-I,5,male,challenger
30,DEM,"121,466",male,incumbent
30,LIB,"11,676",male,challenger
31,REP,"107,252",male,incumbent
31,DEM,"103,689",female,challenger
31,LIB,"3,137",male,challenger
32,REP,"91,441",male,incumbent
32,DEM,"106,017",male,challenger
32,LIB,"3,243",female,challenger
33,REP,"17,921",male,challenger
33,DEM,"60,060",male,incumbent
33,LIB,"1,267",male,challenger
34,REP,"37,240",male,challenger
34,DEM,"54,069",male,incumbent
35,REP,"36,599",male,challenger
35,DEM,"101,391",male,incumbent
35,LIB,"3,364",male,challenger
36,REP,"110,734",male,incumbent
36,DEM,"40,178",male,challenger
