module,title,family,first_slide,last_slide,seed,picker_cells,script,data,guide_anchor
one_sample_t,One-sample t test,Means,30,37,1101,independent-continuous-reference,modules/one_sample_t/analysis.R,modules/one_sample_t/generated/data.csv,one_sample_t
paired_t,Paired t test,Means,38,45,1103,repeated-continuous-pairs,modules/paired_t/analysis.R,modules/paired_t/generated/data.csv,paired_t
sign_test,Sign test,Nonparametric alternatives,46,53,1104,independent-continuous-reference; independent-ordinal-reference; repeated-continuous-pairs; repeated-ordinal-pairs,modules/sign_test/analysis.R,modules/sign_test/generated/data.csv,sign_test
signed_rank,Wilcoxon signed-rank test,Nonparametric alternatives,54,61,1105,independent-continuous-reference; independent-ordinal-reference; repeated-continuous-pairs; repeated-ordinal-pairs,modules/signed_rank/analysis.R,modules/signed_rank/generated/data.csv,signed_rank
permutation_paired,Paired permutation test,Simulation and multivariate methods,62,69,240504,repeated-continuous-pairs; repeated-count-pairs,modules/permutation_paired/analysis.R,modules/permutation_paired/generated/data.csv,permutation_paired
welch_t,Welch two-sample t test,Means,70,77,1102,independent-continuous-two_groups,modules/welch_t/analysis.R,modules/welch_t/generated/data.csv,welch_t
pooled_t,Pooled two-sample t test,Means,78,85,1118,independent-continuous-two_groups,modules/pooled_t/analysis.R,modules/pooled_t/generated/data.csv,pooled_t
rank_sum,Wilcoxon rank-sum test,Nonparametric alternatives,86,93,1106,independent-continuous-two_groups; independent-ordinal-two_groups,modules/rank_sum/analysis.R,modules/rank_sum/generated/data.csv,rank_sum
permutation_independent,Independent-sample permutation test,Simulation and multivariate methods,94,101,240503,independent-continuous-two_groups,modules/permutation_independent/analysis.R,modules/permutation_independent/generated/data.csv,permutation_independent
shapiro,Shapiro–Wilk and graphical checks,Variance and diagnostics,102,109,1111,,modules/shapiro/analysis.R,modules/shapiro/generated/data.csv,shapiro
f_variance,F test of two variances,Variance and diagnostics,110,117,1109,,modules/f_variance/analysis.R,modules/f_variance/generated/data.csv,f_variance
levene,Levene and Brown–Forsythe tests,Variance and diagnostics,118,125,1110,,modules/levene/analysis.R,modules/levene/generated/data.csv,levene
one_way_anova,One-way ANOVA,ANOVA,126,133,1117,independent-continuous-many_groups,modules/one_way_anova/analysis.R,modules/one_way_anova/generated/data.csv,one_way_anova
welch_anova,Welch one-way ANOVA,ANOVA,134,141,1119,independent-continuous-many_groups,modules/welch_anova/analysis.R,modules/welch_anova/generated/data.csv,welch_anova
kruskal_wallis,Kruskal–Wallis test,Nonparametric alternatives,142,149,1107,independent-continuous-many_groups; independent-ordinal-many_groups,modules/kruskal_wallis/analysis.R,modules/kruskal_wallis/generated/data.csv,kruskal_wallis
dunn,Dunn rank comparisons,Rank methods,150,157,2105,,modules/dunn/analysis.R,modules/dunn/generated/data.csv,dunn
tukey,Tukey / Tukey–Kramer comparisons,ANOVA and contrasts,158,165,2104,,modules/tukey/analysis.R,modules/tukey/generated/data.csv,tukey
fisher_lsd,Fisher least significant difference,ANOVA and contrasts,166,173,2104,,modules/fisher_lsd/analysis.R,modules/fisher_lsd/generated/data.csv,fisher_lsd
scheffe,Scheffé contrasts,ANOVA and contrasts,174,181,2104,,modules/scheffe/analysis.R,modules/scheffe/generated/data.csv,scheffe
factorial_anova,Factorial ANOVA: interactions,ANOVA and contrasts,182,189,2101,independent-continuous-many_predictors,modules/factorial_anova/analysis.R,modules/factorial_anova/generated/data.csv,factorial_anova
ancova,ANCOVA: an adjusted group comparison,ANOVA and contrasts,190,197,2102,independent-continuous-many_predictors,modules/ancova/analysis.R,modules/ancova/generated/data.csv,ancova
repeated_anova,Repeated-measures ANOVA,Repeated and clustered data,198,205,2103,repeated-continuous-repeated,modules/repeated_anova/analysis.R,modules/repeated_anova/generated/data.csv,repeated_anova
friedman,Friedman test,Nonparametric alternatives,206,213,1108,repeated-continuous-repeated; repeated-ordinal-repeated,modules/friedman/analysis.R,modules/friedman/generated/data.csv,friedman
pearson,Pearson correlation,Association,215,222,1112,independent-continuous-one_predictor,modules/pearson/analysis.R,modules/pearson/generated/data.csv,pearson
spearman,Spearman rank correlation,Nonparametric alternatives,223,230,1113,independent-continuous-one_predictor; independent-ordinal-one_predictor,modules/spearman/analysis.R,modules/spearman/generated/data.csv,spearman
simple_lm,Simple linear regression,Regression,232,239,1114,independent-continuous-one_predictor,modules/simple_lm/analysis.R,modules/simple_lm/generated/data.csv,simple_lm
theil_sen,Theil–Sen robust slope,Regression,240,247,1116,,modules/theil_sen/analysis.R,modules/theil_sen/generated/data.csv,theil_sen
multiple_lm,Multiple linear regression,Regression,248,255,1115,independent-continuous-many_predictors,modules/multiple_lm/analysis.R,modules/multiple_lm/generated/data.csv,multiple_lm
