module,title,family,first_slide,last_slide,seed,picker_cells,script,data,guide_anchor
binomial,Exact binomial test,Proportions and categories,257,264,3101,independent-binary-reference,modules/binomial/analysis.R,modules/binomial/generated/data.csv,binomial
one_proportion,One-proportion test,Proportions and categories,265,272,3102,independent-binary-reference,modules/one_proportion/analysis.R,modules/one_proportion/generated/data.csv,one_proportion
two_proportions,Two-proportion test,Proportions and categories,273,280,3103,independent-binary-two_groups,modules/two_proportions/analysis.R,modules/two_proportions/generated/data.csv,two_proportions
chi_gof,Chi-square goodness-of-fit,Proportions and categories,281,288,3104,independent-nominal-reference,modules/chi_gof/analysis.R,modules/chi_gof/generated/data.csv,chi_gof
chi_independence,Chi-square test of independence,Proportions and categories,289,296,3105,independent-binary-two_groups; independent-binary-many_groups; independent-nominal-two_groups; independent-nominal-many_groups,modules/chi_independence/analysis.R,modules/chi_independence/generated/data.csv,chi_independence
fisher_exact,Fisher exact test,Proportions and categories,297,304,3106,independent-binary-two_groups; independent-nominal-two_groups; independent-nominal-many_groups,modules/fisher_exact/analysis.R,modules/fisher_exact/generated/data.csv,fisher_exact
mcnemar,McNemar test,Paired binary outcomes,305,312,3107,repeated-binary-pairs,modules/mcnemar/analysis.R,modules/mcnemar/generated/data.csv,mcnemar
cochran_q,Cochran’s Q test,Paired binary outcomes,313,320,3108,repeated-binary-repeated,modules/cochran_q/analysis.R,modules/cochran_q/generated/data.csv,cochran_q
logistic,Logistic regression,Generalized linear models,321,328,3110,independent-binary-many_groups; independent-binary-one_predictor; independent-binary-many_predictors,modules/logistic/analysis.R,modules/logistic/generated/data.csv,logistic
multinomial,Multinomial logistic regression,Generalized linear models,329,336,3114,independent-nominal-one_predictor; independent-nominal-many_predictors,modules/multinomial/analysis.R,modules/multinomial/generated/data.csv,multinomial
ordinal_logistic,Ordinal logistic regression,Generalized linear models,337,344,3115,independent-ordinal-two_groups; independent-ordinal-many_groups; independent-ordinal-one_predictor; independent-ordinal-many_predictors,modules/ordinal_logistic/analysis.R,modules/ordinal_logistic/generated/data.csv,ordinal_logistic
poisson_exact,Exact Poisson rate test,Counts and exposure,345,352,3109,independent-count-reference; independent-count-two_groups,modules/poisson_exact/analysis.R,modules/poisson_exact/generated/data.csv,poisson_exact
poisson_glm,Poisson regression,Generalized linear models,353,360,3111,independent-count-two_groups; independent-count-many_groups; independent-count-one_predictor; independent-count-many_predictors,modules/poisson_glm/analysis.R,modules/poisson_glm/generated/data.csv,poisson_glm
quasipoisson,Quasi-Poisson regression,Generalized linear models,361,368,3113,independent-count-many_groups,modules/quasipoisson/analysis.R,modules/quasipoisson/generated/data.csv,quasipoisson
negbin_glm,Negative binomial regression,Generalized linear models,369,376,3112,independent-count-two_groups; independent-count-many_groups; independent-count-one_predictor; independent-count-many_predictors,modules/negbin_glm/analysis.R,modules/negbin_glm/generated/data.csv,negbin_glm
linear_mixed,Linear mixed model,Repeated and clustered data,377,384,2106,independent-continuous-many_predictors; repeated-continuous-repeated; repeated-continuous-mixed,modules/linear_mixed/analysis.R,modules/linear_mixed/generated/data.csv,linear_mixed
binary_glmm,Binary mixed model,Repeated and clustered data,385,392,2107,independent-binary-many_predictors; repeated-binary-repeated; repeated-binary-mixed,modules/binary_glmm/analysis.R,modules/binary_glmm/generated/data.csv,binary_glmm
binary_gee,Binary generalized estimating equations,Dependent observations,393,400,3116,repeated-binary-repeated; repeated-binary-mixed,modules/binary_gee/analysis.R,modules/binary_gee/generated/data.csv,binary_gee
count_gee,Count and rate GEE,Dependent observations,401,408,1401,repeated-count-pairs; repeated-count-repeated; repeated-count-mixed,modules/count_gee/analysis.R,modules/count_gee/generated/data.csv,count_gee
count_glmm,Count mixed model: Poisson and negative binomial,Repeated and clustered data,409,416,2114,independent-count-many_predictors; repeated-count-pairs; repeated-count-repeated; repeated-count-mixed,modules/count_glmm/analysis.R,modules/count_glmm/generated/data.csv,count_glmm
ordinal_mixed,Ordinal mixed model,Repeated and clustered data,417,424,2109,independent-ordinal-many_predictors; repeated-ordinal-repeated; repeated-ordinal-mixed,modules/ordinal_mixed/analysis.R,modules/ordinal_mixed/generated/data.csv,ordinal_mixed
kaplan_meier,Kaplan–Meier survival estimation,Time to event,425,432,2110,independent-survival-reference,modules/kaplan_meier/analysis.R,modules/kaplan_meier/generated/data.csv,kaplan_meier
log_rank,Log-rank survival comparison,Time to event,433,440,2111,independent-survival-two_groups; independent-survival-many_groups,modules/log_rank/analysis.R,modules/log_rank/generated/data.csv,log_rank
stratified_logrank,Stratified log-rank test,Survival,441,448,240501,repeated-survival-pairs,modules/stratified_logrank/analysis.R,modules/stratified_logrank/generated/data.csv,stratified_logrank
cox_ph,Cox proportional-hazards regression,Time to event,449,456,2112,independent-survival-one_predictor; independent-survival-many_predictors; repeated-survival-pairs; repeated-survival-repeated; repeated-survival-mixed,modules/cox_ph/analysis.R,modules/cox_ph/generated/data.csv,cox_ph
parametric_survival,Parametric survival: accelerated failure time,Time to event,457,464,2113,independent-survival-one_predictor; independent-survival-many_predictors,modules/parametric_survival/analysis.R,modules/parametric_survival/generated/data.csv,parametric_survival
shared_frailty,Shared-frailty survival model,Survival,465,472,240502,independent-survival-many_predictors; repeated-survival-mixed,modules/shared_frailty/analysis.R,modules/shared_frailty/generated/data.csv,shared_frailty
bonferroni,Bonferroni correction,Multiple testing,474,481,240508,,modules/bonferroni/analysis.R,modules/bonferroni/generated/data.csv,bonferroni
fdr,Benjamini–Hochberg FDR,Multiple testing,482,489,240509,,modules/fdr/analysis.R,modules/fdr/generated/data.csv,fdr
monte_carlo,Monte Carlo null-model test,Simulation and multivariate methods,491,498,240505,,modules/monte_carlo/analysis.R,modules/monte_carlo/generated/data.csv,monte_carlo
bootstrap,Bootstrap confidence interval,Simulation and multivariate methods,499,506,240507,,modules/bootstrap/analysis.R,modules/bootstrap/generated/data.csv,bootstrap
sampling_coverage,Sampling variation and CI coverage,Simulation and multivariate methods,507,514,240506,,modules/sampling_coverage/analysis.R,modules/sampling_coverage/generated/data.csv,sampling_coverage
pca,Principal component analysis,Multivariate exploration,516,523,240510,,modules/pca/analysis.R,modules/pca/generated/data.csv,pca
mds,Classical multidimensional scaling,Multivariate exploration,524,531,240511,,modules/mds/analysis.R,modules/mds/generated/data.csv,mds
lda,Linear discriminant analysis,Multivariate exploration,532,539,240512,,modules/lda/analysis.R,modules/lda/generated/data.csv,lda
