new file name,organism,phenotype,SCS,trait class,clade,divergence,divergence.time(MYA),domestication,regression type,method,citation,,,,,,,,,,,
okra-first.flower1.csv,Abelmoschous esculentus,days to first flowering,NSC,LH,plant,within,0,domestic,Y,PSU,"P. S. Aulakh, Dhall, and Singh 2012b",,,,,,,,,,,
okra-first.flower2.csv,Abelmoschous esculentus,days to first flowering,NSC,LH,plant,within,0,domestic,Y,PSU,"P. S. Aulakh, Dhall, and Singh 2012b",,,,,,,,,,,
okra-first.fruit1.csv,Abelmoschous esculentus,days to first fruit set,NSC,LH,plant,within,0,domestic,Y,PSU,"P. S. Aulakh, Dhall, and Singh 2012b",,,,,,,,,,,
okra-first.fruit2.csv,Abelmoschous esculentus,days to first fruit set,NSC,LH,plant,within,0,domestic,Y,PSU,"P. S. Aulakh, Dhall, and Singh 2012b",,,,,,,,,,,
okra-flower1.csv,Abelmoschous esculentus,days to first flowering,NSC,LH,plant,within,0,domestic,Y,PSU,"P. S. Aulakh, Dhall, and Singh 2012a",,,,,,,,,,,
okra-flower2.csv,Abelmoschous esculentus,days to first flowering,NSC,LH,plant,within,0,domestic,Y,PSU,"P. S. Aulakh, Dhall, and Singh 2012a",,,,,,,,,,,
okra-fruit.yield1.csv,Abelmoschous esculentus,fruit yield,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-fruit.yield2.csv,Abelmoschous esculentus,fruit yield,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-fruit.yield3.csv,Abelmoschous esculentus,fruit yield,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-fruit.yield4.csv,Abelmoschous esculentus,fruit yield,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-fruit.yield5.csv,Abelmoschous esculentus,fruit yield,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-fruit.yield6.csv,Abelmoschous esculentus,fruit yield,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-fruit.yield7.csv,Abelmoschous esculentus,fruit yield,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-fruit.yield8.csv,Abelmoschous esculentus,fruit yield,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-fruit1.csv,Abelmoschous esculentus,days to first fruit set,NSC,LH,plant,within,0,domestic,Y,PSU,"P. S. Aulakh, Dhall, and Singh 2012a",,,,,,,,,,,
okra-fruit2.csv,Abelmoschous esculentus,days to first fruit set,NSC,LH,plant,within,0,domestic,Y,PSU,"P. S. Aulakh, Dhall, and Singh 2012a",,,,,,,,,,,
okra-pod.num1.csv,Abelmoschous esculentus,number of pods per plant,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-pod.num2.csv,Abelmoschous esculentus,number of pods per plant,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-pod.num3.csv,Abelmoschous esculentus,number of pods per plant,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-pod.num4.csv,Abelmoschous esculentus,number of pods per plant,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-pod.num5.csv,Abelmoschous esculentus,number of pods per plant,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-pod.num6.csv,Abelmoschous esculentus,number of pods per plant,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-pod.num7.csv,Abelmoschous esculentus,number of pods per plant,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-pod.num8.csv,Abelmoschous esculentus,number of pods per plant,NSC,LH,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-total.yield1.csv,Abelmoschous esculentus,yield,NSC,LH,plant,within,0,domestic,Y,PSU,"P. S. Aulakh, Dhall, and Singh 2012b",,,,,,,,,,,
okra-total.yield2.csv,Abelmoschous esculentus,yield,NSC,LH,plant,within,0,domestic,Y,PSU,"P. S. Aulakh, Dhall, and Singh 2012b",,,,,,,,,,,
okra-water1.csv,Abelmoschous esculentus,leaf water potential,NSC,M,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-water2.csv,Abelmoschous esculentus,leaf water potential,NSC,M,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-water3.csv,Abelmoschous esculentus,leaf water potential,NSC,M,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
okra-water4.csv,Abelmoschous esculentus,leaf water potential,NSC,M,plant,within,0,domestic,N,PSU,"Naveed, Khan, and Khan 2009",,,,,,,,,,,
