cross,mean,SE,sex,environ,sire,dam
P1,25.71429,9.13318,U,1,1,1
P2,27.14286,7.26514,U,1,2,2
F1,32,8.96289,U,1,2,1
rF1,18.33333,3.47051,U,1,1,2
F2a,34.71429,9.52119,U,1,3,3
rF2b,40.33333,8.87944,U,1,3,4
F2b,40.57143,4.81,U,1,4,3
F2c,34.57143,6.73603,U,1,4,4
BC1a,35.85714,7.42399,U,1,3,1
BC1b,40.83333,9.97135,U,1,4,1
rBC1a,28.28571,8.23383,U,1,1,3
rBC1b,29.28571,7.18369,U,1,1,4
rBC2a,36.85714,8.68065,U,1,3,2
rBC2b,42.57143,9.73178,U,1,4,2
BC2a,35,9.17294,U,1,2,3
BC2b,35.85714,10.17801,U,1,2,4
