cross,mean,SE,sex,environ,sire,dam
P1,-0.115971304,0.170345314,F,1,2,1
P1,0.233766667,0.127852703,M,1,2,1
P2,0.005766875,0.16000668,F,1,4,3
P2,0.766802051,0.211528906,M,1,4,3
F1,-0.83125,0.551129885,F,1,4,1
F1,-0.131765,0.156305,M,1,4,1
rF1,-0.603468,0.194990371,F,1,2,3
rF1,0.751115833,0.217820363,M,1,2,3
F2c,0.924363333,0.790645876,F,1,8,7
F2c,0.760027143,0.169546505,M,1,8,7
BC1b,-0.339112857,0.170157678,F,1,8,1
BC1b,-0.211016875,0.143057958,M,1,8,1
rBC1b,-0.559753333,0.222807282,F,1,2,7
rBC1b,0.1987625,0.262157334,M,1,2,7
BC2b,0.31974375,0.240471968,F,1,4,7
rBC2b,0.407088571,0.2508843,F,1,8,3
