cross,mean,SE,sex,environ,sire,dam
P1,-0.577913913,0.169929883,F,1,2,1
P1,-0.008082381,0.225311758,M,1,2,1
P2,-0.361800625,0.227757355,F,1,4,3
P2,0.344700513,0.13085703,M,1,4,3
F1,-1.2353725,0.148540747,F,1,4,1
F1,-1.47836,1.1783,M,1,4,1
rF1,0.120056,0.198501263,F,1,2,3
rF1,0.015426667,0.159213666,M,1,2,3
F2c,-0.749083333,0.359513587,F,1,8,7
F2c,-0.272582857,0.316429525,M,1,8,7
BC1b,1.1605,0.205638437,F,1,8,1
BC1b,0.80437375,0.182833559,M,1,8,1
rBC1b,0.648836667,0.494040507,F,1,2,7
rBC1b,0.7397325,0.398590061,M,1,2,7
BC2b,-0.24641,0.355520303,F,1,4,7
rBC2b,-0.124045714,0.284924866,F,1,8,3
