cross,mean,SE,sex,environ,sire,dam
P1,24.57143,80.70748,U,1,1,1
P2,24.57143,71.61224,U,1,2,2
F1,29.57143,77.23129,U,1,2,1
rF1,23.85714,80.54422,U,1,1,2
F2a,26.14286,49.87755,U,1,3,3
rF2b,31,93.85714,U,1,3,4
F2b,37.28571,55.55782,U,1,4,3
F2c,31.42857,101.94558,U,1,4,4
BC1a,32.14286,35.4966,U,1,3,1
BC1b,40,303.61905,U,1,4,1
rBC1a,19.57143,13.7551,U,1,1,3
rBC1b,14.28571,15.84354,U,1,1,4
rBC2a,33.14286,58.2585,U,1,3,2
rBC2b,41.28571,69.55782,U,1,4,2
BC2a,26,40,U,1,2,3
BC2b,34.28571,96.7483,U,1,2,4
