cross,mean,SE,sex,environ,sire,dam
P1,53.76470588,45.92301038,U,1,1,1
P2,91.32,36.1024,U,1,2,2
F1,49.88,28.34773333,U,1,2,1
rF1,63.875,78.61707428,U,1,1,2
F2a,29.58333333,12.43118687,U,1,3,3
rF2b,30.81818182,25.1785124,U,1,3,4
F2b,18.18181818,25.83305785,U,1,4,3
F2c,23.83333333,28.17929293,U,1,4,4
BC1a,31.85,8.9225,U,1,3,1
BC1b,23.55,15.77618421,U,1,4,1
rBC1a,40.55,26.91302632,U,1,1,3
rBC1b,37.23809524,23.72335601,U,1,1,4
rBC2a,30.1,12.34684211,U,1,3,2
rBC2b,20.23809524,12.5185941,U,1,4,2
BC2a,10.85,2.211973684,U,1,2,3
BC2b,11.6,7.728421053,U,1,2,4
