"","x"
"1",0.776357335307642
"2",0.0446890963197859
"3",0.17273632798437
"4",0.129343915045291
"5",0.320875355450627
"6",0.296126113374049
"7",1
"8",1
"9",0.00227598146588892
"10",0.0790936903712525
"11",0.984472727323127
"12",5.45455139593365e-05
"13",0.766545924748707
"14",0.204225860304551
"15",0.135907228078555
"16",4.03733849997367e-05
"17",0.0362250991838595
"18",0.377322639179748
"19",0.277069533926453
"20",0.198715944414655
"21",0.170028428241801
"22",1
"23",0.736893840560027
"24",5.16658524036817e-05
"25",0.225438019823256
"26",0.152112309393504
"27",0.163305372654929
"28",0.0380185997125589
"29",0.23307101578871
"30",0.189373032965828
"31",5.94315793717159e-05
"32",1
"33",0.59143969473581
"34",0.790377813250639
"35",0.095121967897026
"36",0.740922260152817
"37",0.139587963341597
"38",0.22180236121092
"39",0.477415138995139
"40",5.83001439411479e-05
"41",9.76176544188467e-05
"42",0.845276328333797
"43",0.0319462160345958
"44",0.402916736405781
"45",0.165925141568029
"46",0.524492101220424
"47",1.5011720991609e-05
"48",0.177733084239943
"49",0.0395568362742716
"50",0.409223792922533
"51",0.697332883122428
"52",0.969788004574755
"53",0.767289450807842
"54",0.848236283567592
"55",1
"56",0.188825245625627
"57",0.155718028254713
"58",0.440493388395572
"59",0.0493540868992793
"60",0.733098022556747
"61",0.721288182870861
"62",0.166447328287284
"63",0.469220062604393
"64",0.136258853923856
"65",0.441723331329099
"66",0.287885540110416
"67",0.876015961960365
"68",0.213427773929444
"69",0.157093844919461
"70",0.352141819709716
"71",1
"72",3.35701857661075e-05
"73",7.23298586471355e-05
"74",0.352141819709716
"75",0.0870215309046158
"76",0.00820342366642268
"77",0.180528941665338
"78",0.238464662087268
"79",0.275370894094657
"80",5.83001439411479e-05
"81",0.146615973994272
"82",0.19184086024526
"83",0.0213057215232778
"84",0.0389727589406601
"85",1
"86",0.286615366460199
"87",0.309182324652251
"88",0.0793956637877403
"89",1
"90",5.19199027293471e-06
"91",0.169765734458412
"92",0.0686995239454988
"93",0.00558351123975032
"94",0.0159482009949266
"95",0.330553823134578
"96",8.99243116835313e-05
"97",0.16922852880712
"98",0.00463228073158661
"99",0.0965205772370258
"100",0.983662488555424
