"id","block","treatment","initial_mass","final_mass"
1,1,"none",272.61,132.94
2,1,"none",322.83,130.51
3,1,"none",317.5,134.21
4,1,"none",256.98,112.4
5,1,"none",263.52,113.65
6,1,"large",275.75,116.77
7,1,"large",272.52,114.64
8,1,"large",258.49,114.17
9,1,"large",256.69,111.73
10,1,"large",253.85,108.79
11,1,"small",301.92,102.89
12,1,"small",303.38,108.72
13,1,"small",314.95,97.11
14,1,"small",275.91,107.05
15,1,"small",318.41,126.19
16,2,"none",259.37,111.97
17,2,"none",266.11,92.69
18,2,"none",272.68,100
19,2,"none",262.64,100.18
20,2,"none",275.67,103.46
21,2,"large",290.38,106.72
22,2,"large",269.81,98.4
23,2,"large",313.46,120.91
24,2,"large",267.3,101.39
25,2,"large",281.85,105.01
26,2,"small",260.61,74.23
27,2,"small",293.9,88.88
28,2,"small",250.52,63.22
29,2,"small",264.44,87.8
30,2,"small",262.9,89.48
31,3,"none",305.26,148.27
32,3,"none",283.58,114.09
33,3,"none",285.49,120.12
34,3,"none",258.1,112.39
35,3,"none",252.59,108.44
36,3,"large",303.59,127.97
37,3,"large",278.93,116.79
38,3,"large",274.64,120.77
39,3,"large",303.16,131.36
40,3,"large",251.27,107.19
41,3,"small",295.7,100.19
42,3,"small",282.4,100.65
43,3,"small",250.8,76.84
44,3,"small",297.85,114.98
45,3,"small",313.91,123.8
46,4,"none",299.76,143.52
47,4,"none",287.37,113.63
48,4,"none",308.99,127.87
49,4,"none",274.25,117.52
50,4,"none",267.65,113.05
51,4,"large",258.66,107.24
52,4,"large",303.93,125.16
53,4,"large",261.42,113.15
54,4,"large",255.6,108.98
55,4,"large",252.45,105.95
56,4,"small",286.27,95.01
57,4,"small",274.15,95.81
58,4,"small",303.14,90.78
59,4,"small",252.17,95.6
60,4,"small",256.8,99.5
