"cross","mean","SE","sex","environ","sire","dam"
"p1",0.181844482829705,0.0394442003155895,"U",1,1,1
"p2",0.328876381817936,0.0457638552523623,"U",1,2,2
"f1",0.352001020821265,0.0396928242167102,"U",1,2,1
"rf1",0.17829964887686,0.0412100625567061,"U",1,1,2
"f2a",0.239927514346119,0.0487598743420757,"U",1,3,3
"rf2b",0.258242895545716,0.0512565928508851,"U",1,3,4
"f2b",0.359330766787981,0.0404528794216942,"U",1,4,3
"bc1a",0.292297390245607,0.0315482566266082,"U",1,3,1
"bc1b",0.350235564853445,0.0525688380190163,"U",1,4,1
"rbc1a",0.342645981505375,0.0506297304143191,"U",1,1,3
"rbc1b",0.265968926427652,0.0327627935821965,"U",1,1,4
"rbc2a",0.356814417291146,0.0779176523087632,"U",1,3,2
"rbc2b",0.386567986878546,0.0651487924081662,"U",1,4,2
"bc2a",0.31515211347697,0.0350544199918609,"U",1,2,3
"bc2b",0.334543957693539,0.0314541490474121,"U",1,2,4
