cross,mean,SE,sex,environ,sire,dam
P1,6000,3814.371257,U,42.5,1,1
BC1,875,502.994012,U,42.5,1,3
F1,6625,3814.371257,U,42.5,1,6
F2,250,167.6646707,U,42.5,3,3
BC2,375,167.6646707,U,42.5,6,3
P2,250,167.6646707,U,42.5,6,6
P1,23437.5,11125,U,48.5,7,7
BC1,19375,9625,U,48.5,7,9
F1,2500,1125,U,48.5,7,12
F2,416.66666,312.5,U,48.5,9,9
BC2,2500,750,U,48.5,12,9
P2,2916.66666,1125,U,48.5,12,12
P1,2750,1383.17757,U,33.33333333,13,13
BC1,1625,822.4299065,U,33.33333333,13,15
F1,0,74.76635514,U,33.33333333,13,18
F2,7250,1644.859813,U,33.33333333,15,15
BC2,250,130.8411215,U,33.33333333,18,15
P2,375,168.2242991,U,33.33333333,18,18
P1,6250,4888.888889,U,54.23611111,19,19
BC1,250,185.185,U,54.23611111,19,21
F1,1500,555.5555556,U,54.23611111,19,24
F2,500,277.7777778,U,54.23611111,21,21
BC2,500,277.7777778,U,54.23611111,24,21
P2,2375,777.7777778,U,54.23611111,24,24
P1,400,153.8461538,U,33.2708333,25,25
BC1,225,96.15384615,U,33.2708333,25,27
F1,100,57.69230769,U,33.2708333,25,30
F2,400,57.69230769,U,33.2708333,27,27
BC2,150,57.69230769,U,33.2708333,30,27
P2,3466.666667,230.7692308,U,33.2708333,30,30
