cross,mean,SE,sex,environ,sire,dam
P1,-0.103627826,0.24410431,F,1,2,1
P1,0.058054762,0.234410863,M,1,2,1
P2,-0.1859675,0.277417189,F,1,4,3
P2,-0.190844615,0.225588231,M,1,4,3
F1,0.2428575,0.442812594,F,1,4,1
F1,0.529595,0.199765,M,1,4,1
rF1,-0.012792,0.386133191,F,1,2,3
rF1,0.527681667,0.242062126,M,1,2,3
F2c,1.263006667,0.520460625,F,1,8,7
F2c,0.832457143,0.108489522,M,1,8,7
BC1b,0.681445,0.145035714,F,1,8,1
BC1b,0.876570625,0.111145245,M,1,8,1
rBC1b,0.40897,0.214423545,F,1,2,7
rBC1b,0.9239775,0.145821707,M,1,2,7
BC2b,1.51252875,0.092759353,F,1,4,7
rBC2b,0.998175714,0.120631483,F,1,8,3
