state,posterior,prior,likelihood
80000,-398372.1151,-5270.800777,-393101.3143
100000,-397067.2737,-5264.396861,-391802.8768
120000,-395278.2567,-5237.981271,-390040.2754
140000,-394254.5572,-5241.943821,-389012.6133
160000,-393555.0231,-5237.108921,-388317.9141
180000,-392887.9053,-5244.217,-387643.6883
200000,-392289.3801,-5245.533034,-387043.8471
220000,-391441.2675,-5243.635898,-386197.6316
240000,-391122.4948,-5235.921221,-385886.5736
260000,-390876.2662,-5236.289604,-385639.9766
280000,-390828.6051,-5233.974204,-385594.6309
300000,-390742.521,-5233.897732,-385508.6233
320000,-390731.6636,-5234.840762,-385496.8228
340000,-390643.9199,-5237.192213,-385406.7276
360000,-390607.0217,-5231.037773,-385375.9839
380000,-390635.1484,-5238.315425,-385396.8329
400000,-390639.9679,-5236.371889,-385403.596
420000,-390588.3046,-5232.878243,-385355.4263
440000,-390558.6711,-5238.489174,-385320.1819
460000,-390530.6008,-5242.988145,-385287.6127
480000,-390500.1559,-5238.162632,-385261.9933
500000,-390508.8437,-5246.295013,-385262.5487
520000,-390534.2743,-5248.875109,-385285.3992
540000,-390460.832,-5238.888555,-385221.9434
560000,-390406.161,-5232.697279,-385173.4637
580000,-390483.7423,-5232.56712,-385251.1752
600000,-390467.7914,-5234.853309,-385232.9381
620000,-390378.1914,-5232.544888,-385145.6465
640000,-390385.2723,-5229.756946,-385155.5153
660000,-390344.4449,-5234.220993,-385110.2239
680000,-390427.9551,-5246.975951,-385180.9791
700000,-390306.4826,-5230.408688,-385076.0739
720000,-390283.371,-5236.089185,-385047.2818
740000,-390292.6811,-5228.672206,-385064.0089
760000,-390254.3688,-5235.275977,-385019.0928
780000,-390259.9468,-5222.293711,-385037.6531
800000,-390249.275,-5223.59933,-385025.6757
820000,-390219.6954,-5221.892522,-384997.8029
840000,-390193.977,-5222.952973,-384971.024
860000,-390227.7146,-5220.183068,-385007.5316
880000,-390163.2397,-5217.837939,-384945.4018
900000,-390201.8737,-5219.883693,-384981.99
920000,-390183.2376,-5217.685288,-384965.5523
940000,-390184.8821,-5212.937654,-384971.9444
960000,-390178.0104,-5214.011241,-384963.9992
980000,-390120.4415,-5227.470824,-384892.9706
1000000,-390138.8597,-5213.448248,-384925.4115
1020000,-390121.2309,-5224.170897,-384897.06
1040000,-390095.4493,-5214.833689,-384880.6156
1060000,-390117.64,-5209.820394,-384907.8196
1080000,-390132.0394,-5214.433591,-384917.6058
1100000,-390092.73,-5212.948147,-384879.7819
1120000,-390067.8715,-5209.654221,-384858.2173
1140000,-390091.5441,-5209.694842,-384881.8493
1160000,-390059.3919,-5210.306117,-384849.0858
1180000,-390064.1192,-5206.792153,-384857.327
1200000,-389987.0879,-5206.973217,-384780.1147
1220000,-390050.64,-5207.281684,-384843.3583
1240000,-390013.2073,-5212.1714,-384801.0359
1260000,-390044.604,-5213.985615,-384830.6184
1280000,-390061.2601,-5212.678436,-384848.5817
1300000,-390033.7032,-5216.488568,-384817.2147
1320000,-390073.0592,-5216.393905,-384856.6653
1340000,-390047.8781,-5218.504175,-384829.3739
1360000,-390109.0736,-5221.287668,-384887.7859
1380000,-390076.2685,-5215.76901,-384860.4995
1400000,-390072.7929,-5224.016697,-384848.7762
1420000,-389973.8871,-5220.952331,-384752.9347
1440000,-389989.0861,-5229.542422,-384759.5437
1460000,-389985.7216,-5221.913813,-384763.8078
1480000,-389956.5898,-5217.525478,-384739.0643
1500000,-389968.3263,-5228.007115,-384740.3192
1520000,-389967.4892,-5226.060153,-384741.429
1540000,-389988.8813,-5227.749048,-384761.1322
1560000,-389952.2191,-5223.073037,-384729.146
1580000,-389932.3987,-5240.732172,-384691.6665
1600000,-389962.5515,-5235.934955,-384726.6166
1620000,-389963.3386,-5233.499174,-384729.8394
1640000,-389893.795,-5231.782597,-384662.0124
1660000,-389858.492,-5231.949413,-384626.5426
1680000,-389925.0341,-5236.704358,-384688.3297
1700000,-389989.4357,-5243.873823,-384745.5619
1720000,-389968.1863,-5238.767862,-384729.4185
1740000,-389959.6164,-5240.955412,-384718.661
1760000,-389947.5509,-5227.315484,-384720.2354
1780000,-389932.9803,-5231.588523,-384701.3918
1800000,-389921.8513,-5235.09759,-384686.7537
1820000,-389972.9383,-5242.828382,-384730.1099
1840000,-389951.2622,-5227.206584,-384724.0557
1860000,-389926.6244,-5231.175435,-384695.449
1880000,-389920.7386,-5238.35471,-384682.3839
1900000,-389912.8614,-5234.861389,-384678
1920000,-389939.8959,-5231.861023,-384708.0349
1940000,-389840.0283,-5228.309763,-384611.7185
1960000,-389871.3893,-5229.96048,-384641.4288
1980000,-389898.7171,-5222.665087,-384676.052
2000000,-389873.953,-5218.835674,-384655.1174
2020000,-389877.7121,-5231.379693,-384646.3324
2040000,-389816.3248,-5224.509923,-384591.8148
2060000,-389892.2552,-5237.494879,-384654.7603
2080000,-389858.5483,-5227.751416,-384630.7969
2100000,-389794.7157,-5224.32319,-384570.3925
2120000,-389804.8078,-5219.886659,-384584.9212
2140000,-389778.5376,-5214.116737,-384564.4209
2160000,-389816.2072,-5209.925055,-384606.2822
2180000,-389794.1871,-5204.735259,-384589.4519
2200000,-389768.7099,-5211.768712,-384556.9412
2220000,-389805.8636,-5215.931615,-384589.932
2240000,-389770.6173,-5209.07115,-384561.5461
2260000,-389796.699,-5210.524853,-384586.1742
2280000,-389774.0816,-5206.937219,-384567.1444
2300000,-389787.3143,-5204.226409,-384583.0878
2320000,-389799.796,-5208.641456,-384591.1545
2340000,-389818.1865,-5213.057766,-384605.1288
2360000,-389797.1838,-5211.00571,-384586.1781
2380000,-389806.9803,-5218.960384,-384588.0199
2400000,-389774.0386,-5217.475159,-384556.5634
2420000,-389754.6099,-5216.916876,-384537.693
2440000,-389753.0721,-5218.7538,-384534.3183
2460000,-389806.716,-5209.075865,-384597.6401
2480000,-389769.3801,-5205.352589,-384564.0275
2500000,-389805.2584,-5209.817007,-384595.4413
2520000,-389761.2654,-5208.752058,-384552.5133
2540000,-389762.1747,-5202.439629,-384559.735
2560000,-389782.6961,-5201.630954,-384581.0652
2580000,-389757.9521,-5200.754203,-384557.1979
2600000,-389805.5569,-5205.997888,-384599.559
2620000,-389856.4558,-5199.997805,-384656.458
2640000,-389841.5263,-5210.665349,-384630.8609
2660000,-389774.5167,-5208.528668,-384565.988
2680000,-389751.1741,-5210.575622,-384540.5984
2700000,-389795.8375,-5211.664565,-384584.173
2720000,-389796.3827,-5218.640568,-384577.7421
2740000,-389780.8528,-5206.044243,-384574.8085
2760000,-389789.1508,-5208.474607,-384580.6762
2780000,-389818.6689,-5216.63713,-384602.0318
2800000,-389787.3367,-5211.389692,-384575.947
2820000,-389804.7864,-5216.043779,-384588.7426
2840000,-389819.1628,-5216.611346,-384602.5515
2860000,-389790.2726,-5214.3599,-384575.9127
2880000,-389871.0662,-5223.613293,-384647.4529
2900000,-389874.5049,-5214.158157,-384660.3467
2920000,-389792.4893,-5213.170943,-384579.3183
2940000,-389818.5192,-5207.870362,-384610.6489
2960000,-389825.7312,-5202.57952,-384623.1516
2980000,-389807.9056,-5206.694402,-384601.2112
3000000,-389805.5539,-5203.466594,-384602.0873
3020000,-389759.176,-5202.937483,-384556.2385
3040000,-389766.2049,-5203.35821,-384562.8467
3060000,-389770.2765,-5204.585574,-384565.6909
3080000,-389735.7788,-5198.561536,-384537.2173
3100000,-389808.3691,-5199.108164,-384609.2609
3120000,-389808.0572,-5210.465218,-384597.592
3140000,-389811.2859,-5218.737334,-384592.5486
3160000,-389773.598,-5221.870942,-384551.727
3180000,-389787.8357,-5213.057151,-384574.7785
3200000,-389759.654,-5224.830647,-384534.8234
3220000,-389798.1331,-5226.041005,-384572.0921
3240000,-389793.137,-5227.411557,-384565.7254
3260000,-389757.2267,-5223.504636,-384533.7221
3280000,-389780.2423,-5223.865721,-384556.3766
3300000,-389800.8815,-5228.663919,-384572.2176
3320000,-389792.0585,-5226.689745,-384565.3687
3340000,-389823.3994,-5232.116495,-384591.2829
3360000,-389851.1343,-5225.561636,-384625.5726
3380000,-389850.2536,-5230.923119,-384619.3305
3400000,-389811.074,-5234.361307,-384576.7127
3420000,-389797.652,-5230.245378,-384567.4067
3440000,-389801.7935,-5230.364818,-384571.4287
3460000,-389810.7228,-5236.664198,-384574.0586
3480000,-389823.2628,-5228.249951,-384595.0129
3500000,-389857.898,-5234.694434,-384623.2036
3520000,-389822.5992,-5235.462205,-384587.137
3540000,-389791.1085,-5233.135773,-384557.9727
3560000,-389829.6954,-5236.60938,-384593.086
3580000,-389773.595,-5231.135616,-384542.4594
3600000,-389759.0738,-5228.836976,-384530.2368
3620000,-389786.2727,-5227.960008,-384558.3127
3640000,-389768.6681,-5235.721047,-384532.9471
3660000,-389798.4567,-5232.599288,-384565.8574
3680000,-389774.1546,-5240.722252,-384533.4324
3700000,-389786.2254,-5237.37956,-384548.8459
3720000,-389829.8344,-5230.492351,-384599.3421
3740000,-389859.5381,-5245.651488,-384613.8866
3760000,-389850.7471,-5240.126282,-384610.6209
3780000,-389809.3078,-5229.710245,-384579.5975
3800000,-389830.8168,-5251.352669,-384579.4641
3820000,-389788.9048,-5240.187365,-384548.7175
3840000,-389791.4511,-5229.760641,-384561.6905
3860000,-389788.2726,-5226.012257,-384562.2603
3880000,-389764.7731,-5226.851034,-384537.922
3900000,-389770.9426,-5232.571502,-384538.3711
3920000,-389765.6066,-5228.588148,-384537.0184
3940000,-389737.7301,-5235.671925,-384502.0582
3960000,-389763.5789,-5237.191003,-384526.3879
3980000,-389798.1989,-5231.823074,-384566.3758
4000000,-389801.2602,-5230.59804,-384570.6622
4020000,-389794.8434,-5224.985499,-384569.8579
4040000,-389786.5862,-5228.247991,-384558.3382
4060000,-389744.2907,-5223.434173,-384520.8565
4080000,-389738.6662,-5236.407487,-384502.2587
4100000,-389792.2605,-5229.706552,-384562.5539
4120000,-389778.4108,-5232.577606,-384545.8332
4140000,-389779.0059,-5228.180885,-384550.825
4160000,-389746.435,-5223.138599,-384523.2964
4180000,-389794.4634,-5226.459734,-384568.0036
4200000,-389830.292,-5223.845157,-384606.4468
4220000,-389773.4512,-5231.418084,-384542.0331
4240000,-389780.1362,-5233.871673,-384546.2645
4260000,-389774.3569,-5232.189409,-384542.1675
4280000,-389783.5137,-5232.305033,-384551.2087
4300000,-389816.1087,-5235.354717,-384580.7539
4320000,-389797.4261,-5241.071898,-384556.3542
4340000,-389835.2576,-5246.681302,-384588.5763
4360000,-389810.6992,-5238.912749,-384571.7864
4380000,-389851.2313,-5237.888516,-384613.3428
4400000,-389805.3423,-5245.032953,-384560.3094
4420000,-389823.1506,-5248.36416,-384574.7865
4440000,-389801.1164,-5251.737899,-384549.3785
4460000,-389810.5173,-5246.692362,-384563.825
4480000,-389828.3545,-5246.981052,-384581.3735
4500000,-389808.6158,-5253.038214,-384555.5776
4520000,-389798.7867,-5245.205196,-384553.5815
4540000,-389787.2104,-5239.049149,-384548.1612
4560000,-389828.5071,-5237.193117,-384591.314
4580000,-389836.6039,-5245.523594,-384591.0803
4600000,-389785.6558,-5237.010077,-384548.6458
4620000,-389806.2335,-5242.550821,-384563.6827
4640000,-389792.632,-5249.52951,-384543.1025
4660000,-389782.3102,-5250.269786,-384532.0404
4680000,-389829.1148,-5247.982256,-384581.1325
4700000,-389794.0437,-5250.830789,-384543.213
4720000,-389807.5016,-5254.596717,-384552.9049
4740000,-389785.7652,-5260.953623,-384524.8116
4760000,-389813.092,-5264.603495,-384548.4885
4780000,-389803.2002,-5265.359824,-384537.8404
4800000,-389803.7945,-5261.50012,-384542.2944
4820000,-389866.3565,-5269.06267,-384597.2938
4840000,-389849.379,-5269.879457,-384579.4995
4860000,-389822.3906,-5274.943795,-384547.4468
4880000,-389848.3258,-5274.156398,-384574.1694
4900000,-389779.6223,-5276.283064,-384503.3393
4920000,-389796.5299,-5268.91,-384527.6199
4940000,-389770.0771,-5271.817012,-384498.2601
4960000,-389774.0317,-5257.024282,-384517.0075
4980000,-389775.3224,-5253.395183,-384521.9273
5000000,-389744.8966,-5253.917894,-384490.9787
5020000,-389813.5298,-5255.013084,-384558.5168
5040000,-389816.419,-5252.454993,-384563.964
5060000,-389813.6034,-5249.667235,-384563.9361
5080000,-389802.8637,-5246.923556,-384555.9402
5100000,-389821.8996,-5254.780268,-384567.1193
5120000,-389805.736,-5263.54252,-384542.1934
5140000,-389844.7501,-5262.227406,-384582.5227
5160000,-389807.1413,-5262.808047,-384544.3332
5180000,-389833.8974,-5263.854959,-384570.0425
5200000,-389809.8646,-5260.042926,-384549.8216
5220000,-389776.1986,-5262.363083,-384513.8355
5240000,-389830.5498,-5264.063348,-384566.4864
5260000,-389785.3421,-5260.422554,-384524.9195
5280000,-389779.6004,-5261.14725,-384518.4532
5300000,-389796.5126,-5249.749183,-384546.7634
5320000,-389834.2543,-5250.323042,-384583.9312
5340000,-389825.7495,-5248.083283,-384577.6663
5360000,-389812.6701,-5238.061549,-384574.6085
5380000,-389767.1509,-5242.254315,-384524.8966
5400000,-389774.4578,-5243.433427,-384531.0244
5420000,-389758.6173,-5245.681349,-384512.936
5440000,-389712.395,-5245.532763,-384466.8622
5460000,-389774.2358,-5245.597539,-384528.6382
5480000,-389798.0395,-5254.323999,-384543.7155
5500000,-389813.0018,-5247.239229,-384565.7626
5520000,-389828.2569,-5252.885733,-384575.3711
5540000,-389780.1544,-5250.280112,-384529.8743
5560000,-389773.1662,-5243.473059,-384529.6931
5580000,-389817.0071,-5249.342244,-384567.6649
5600000,-389767.153,-5245.406465,-384521.7465
5620000,-389824.1772,-5249.841721,-384574.3354
5640000,-389798.9754,-5247.049824,-384551.9256
5660000,-389787.9613,-5242.526129,-384545.4351
5680000,-389809.4395,-5242.210497,-384567.229
5700000,-389783.2148,-5245.676275,-384537.5385
5720000,-389793.8475,-5242.62462,-384551.2228
5740000,-389756.0932,-5242.615879,-384513.4773
5760000,-389752.4911,-5245.895344,-384506.5958
5780000,-389756.8394,-5247.338914,-384509.5005
5800000,-389759.5887,-5250.6674,-384508.9213
5820000,-389811.299,-5249.123408,-384562.1756
5840000,-389793.1863,-5247.877058,-384545.3092
5860000,-389749.8687,-5253.879084,-384495.9896
5880000,-389743.1409,-5246.556845,-384496.584
5900000,-389756.6526,-5235.776784,-384520.8758
5920000,-389787.0514,-5237.747988,-384549.3034
5940000,-389769.3404,-5240.113363,-384529.2271
5960000,-389707.1585,-5237.435139,-384469.7233
5980000,-389736.5645,-5230.09139,-384506.4731
6000000,-389765.0171,-5234.929406,-384530.0877
6020000,-389749.8386,-5233.124306,-384516.7143
6040000,-389737.9393,-5238.475209,-384499.4641
6060000,-389726.6925,-5232.584057,-384494.1084
6080000,-389766.0556,-5238.73221,-384527.3233
6100000,-389736.9698,-5236.957377,-384500.0124
6120000,-389736.48,-5236.210166,-384500.2698
6140000,-389759.9385,-5233.847535,-384526.091
6160000,-389750.6125,-5231.8331,-384518.7794
6180000,-389778.6714,-5237.046756,-384541.6247
6200000,-389732.0993,-5239.856537,-384492.2427
6220000,-389765.7801,-5234.153097,-384531.627
6240000,-389706.719,-5233.634175,-384473.0848
6260000,-389765.6855,-5234.680553,-384531.0049
6280000,-389737.8872,-5239.273509,-384498.6137
6300000,-389721.7829,-5243.174829,-384478.6081
6320000,-389778.0682,-5234.294134,-384543.774
6340000,-389761.7762,-5224.958095,-384536.8181
6360000,-389819.3273,-5220.459343,-384598.868
6380000,-389754.3067,-5220.682726,-384533.624
6400000,-389722.4616,-5226.940511,-384495.5211
6420000,-389699.4532,-5219.657653,-384479.7955
6440000,-389731.9173,-5220.636999,-384511.2803
6460000,-389769.0614,-5218.310691,-384550.7507
6480000,-389781.3507,-5228.558965,-384552.7918
6500000,-389757.2577,-5226.125224,-384531.1325
6520000,-389776.3869,-5228.083678,-384548.3033
6540000,-389729.9162,-5232.686121,-384497.2301
6560000,-389751.5957,-5229.722993,-384521.8727
6580000,-389794.3438,-5225.560197,-384568.7836
6600000,-389761.8679,-5223.524029,-384538.3439
6620000,-389785.048,-5220.817359,-384564.2306
6640000,-389767.1304,-5227.249881,-384539.8805
6660000,-389837.4461,-5231.409045,-384606.0371
6680000,-389749.9924,-5222.513175,-384527.4792
6700000,-389807.8527,-5220.502271,-384587.3505
6720000,-389781.1885,-5218.216681,-384562.9718
6740000,-389834.9066,-5219.063567,-384615.843
6760000,-389795.2594,-5217.462356,-384577.7971
6780000,-389791.1191,-5212.010317,-384579.1087
6800000,-389716.1005,-5213.922365,-384502.1781
6820000,-389714.6632,-5223.953398,-384490.7098
6840000,-389779.532,-5220.043584,-384559.4885
6860000,-389761.6505,-5222.099049,-384539.5514
6880000,-389733.1115,-5216.843152,-384516.2683
6900000,-389763.7448,-5226.328162,-384537.4166
6920000,-389765.2513,-5229.406659,-384535.8447
6940000,-389775.9608,-5224.394706,-384551.566
6960000,-389805.7719,-5221.676643,-384584.0953
6980000,-389792.7571,-5213.28254,-384579.4746
7000000,-389824.7508,-5222.029658,-384602.7211
7020000,-389759.0064,-5221.028462,-384537.9779
7040000,-389733.1483,-5217.868633,-384515.2797
7060000,-389776.109,-5206.828694,-384569.2803
7080000,-389774.0851,-5209.38443,-384564.7006
7100000,-389801.6528,-5212.276219,-384589.3766
7120000,-389789.897,-5204.958074,-384584.9389
7140000,-389787.2582,-5205.142762,-384582.1155
7160000,-389744.2105,-5203.895066,-384540.3155
7180000,-389741.1774,-5200.231077,-384540.9463
7200000,-389687.0389,-5192.888144,-384494.1508
7220000,-389726.7113,-5202.820187,-384523.8912
7240000,-389692.4242,-5197.852277,-384494.5719
7260000,-389724.3117,-5192.724279,-384531.5874
7280000,-389764.4336,-5184.678161,-384579.7554
7300000,-389795.2051,-5194.706152,-384600.4989
7320000,-389760.7364,-5205.863708,-384554.8727
7340000,-389671.9742,-5205.301976,-384466.6722
7360000,-389728.1742,-5202.479433,-384525.6948
7380000,-389716.8897,-5201.14576,-384515.7439
7400000,-389683.8407,-5200.234378,-384483.6063
7420000,-389696.731,-5184.781613,-384511.9494
7440000,-389659.1104,-5183.195799,-384475.9146
7460000,-389645.9266,-5196.255509,-384449.671
7480000,-389651.1155,-5193.067639,-384458.0478
