state,posterior,prior,likelihood
7500000,-389644.0023,-5189.795358,-384454.207
7520000,-389648.5876,-5198.611849,-384449.9758
7540000,-389679.4816,-5198.434036,-384481.0476
7560000,-389648.2083,-5184.759595,-384463.4487
7580000,-389602.3685,-5186.379024,-384415.9895
7600000,-389728.186,-5196.753905,-384531.4321
7620000,-389698.0866,-5188.678164,-384509.4084
7640000,-389699.0214,-5185.937558,-384513.0838
7660000,-389705.9052,-5186.052685,-384519.8525
7680000,-389674.5297,-5185.366165,-384489.1635
7700000,-389615.3179,-5179.105905,-384436.212
7720000,-389690.5091,-5184.354719,-384506.1544
7740000,-389688.2109,-5181.901651,-384506.3092
7760000,-389630.3129,-5183.350352,-384446.9625
7780000,-389681.2846,-5189.522294,-384491.7623
7800000,-389642.0631,-5187.679065,-384454.3841
7820000,-389703.6178,-5190.948021,-384512.6698
7840000,-389641.8228,-5195.510249,-384446.3125
7860000,-389645.8656,-5194.537226,-384451.3284
7880000,-389653.6545,-5197.22652,-384456.428
7900000,-389663.3836,-5199.039116,-384464.3445
7920000,-389712.3197,-5199.687637,-384512.6321
7940000,-389711.5562,-5201.922459,-384509.6337
7960000,-389711.5277,-5198.577085,-384512.9506
7980000,-389698.606,-5198.514777,-384500.0912
8000000,-389669.8375,-5200.881713,-384468.9558
8020000,-389704.2666,-5194.953026,-384509.3136
8040000,-389724.6298,-5201.220673,-384523.4091
8060000,-389697.4762,-5199.552487,-384497.9237
8080000,-389675.5005,-5201.38874,-384474.1117
8100000,-389669.7805,-5205.598358,-384464.1821
8120000,-389741.4527,-5202.330779,-384539.1219
8140000,-389723.7775,-5212.046376,-384511.7311
8160000,-389700.7531,-5203.577153,-384497.1759
8180000,-389711.699,-5204.708395,-384506.9906
8200000,-389697.8747,-5200.601952,-384497.2728
8220000,-389660.4213,-5206.652206,-384453.7691
8240000,-389673.8467,-5202.453107,-384471.3936
8260000,-389690.7914,-5196.405728,-384494.3856
8280000,-389695.1453,-5205.245741,-384489.8996
8300000,-389671.1599,-5214.762804,-384456.3971
8320000,-389676.5142,-5215.537756,-384460.9764
8340000,-389649.6766,-5209.657347,-384440.0193
8360000,-389670.586,-5210.477088,-384460.1089
8380000,-389667.1185,-5203.76137,-384463.3571
8400000,-389683.1525,-5207.42926,-384475.7233
8420000,-389702.7276,-5200.242877,-384502.4847
8440000,-389729.7297,-5203.735344,-384525.9943
8460000,-389673.7507,-5203.344759,-384470.4059
8480000,-389666.7406,-5198.157725,-384468.5828
8500000,-389691.2326,-5205.624984,-384485.6076
8520000,-389644.4792,-5212.903225,-384431.576
8540000,-389723.0831,-5212.837768,-384510.2454
8560000,-389700.9672,-5208.64087,-384492.3264
8580000,-389738.6298,-5207.147342,-384531.4825
8600000,-389692.7139,-5206.660439,-384486.0535
8620000,-389747.7415,-5200.979476,-384546.762
8640000,-389711.8852,-5200.170162,-384511.7151
8660000,-389706.6926,-5197.882304,-384508.8103
8680000,-389650.1824,-5200.78133,-384449.4011
8700000,-389661.0366,-5198.32321,-384462.7134
8720000,-389696.7518,-5202.970463,-384493.7814
8740000,-389695.2121,-5204.377964,-384490.8342
8760000,-389649.0751,-5204.409551,-384444.6656
8780000,-389633.6715,-5197.422944,-384436.2486
8800000,-389669.2305,-5206.804291,-384462.4262
8820000,-389693.0291,-5204.634563,-384488.3945
8840000,-389664.7378,-5211.319694,-384453.4181
8860000,-389644.103,-5207.047402,-384437.0556
8880000,-389633.5063,-5200.831567,-384432.6748
8900000,-389642.9663,-5195.665977,-384447.3003
8920000,-389652.0916,-5204.418676,-384447.6729
8940000,-389696.7379,-5198.296694,-384498.4412
8960000,-389686.8478,-5207.416481,-384479.4313
8980000,-389656.7509,-5206.079236,-384450.6716
9000000,-389648.8617,-5204.020822,-384444.8408
9020000,-389672.6523,-5203.336302,-384469.316
9040000,-389692.3275,-5205.056548,-384487.271
9060000,-389699.2387,-5207.818505,-384491.4202
9080000,-389648.9156,-5213.978121,-384434.9375
9100000,-389661.6648,-5206.606318,-384455.0585
9120000,-389639.3745,-5206.354912,-384433.0196
9140000,-389650.9713,-5202.118838,-384448.8524
9160000,-389701.1992,-5209.718263,-384491.4809
9180000,-389661.9659,-5202.907068,-384459.0588
9200000,-389661.0599,-5201.163011,-384459.8969
9220000,-389644.5026,-5199.459002,-384445.0436
9240000,-389647.5727,-5203.653531,-384443.9192
9260000,-389584.4136,-5202.645618,-384381.768
9280000,-389653.7324,-5203.558047,-384450.1744
9300000,-389643.4206,-5211.96122,-384431.4594
9320000,-389633.3622,-5215.292721,-384418.0694
9340000,-389613.1329,-5211.460944,-384401.6719
9360000,-389636.0536,-5210.409457,-384425.6441
9380000,-389661.0919,-5212.432557,-384448.6593
9400000,-389654.4688,-5205.417663,-384449.0512
9420000,-389613.2175,-5208.137858,-384405.0796
9440000,-389633.6978,-5211.446542,-384422.2512
9460000,-389624.2833,-5213.650972,-384410.6323
9480000,-389621.0312,-5210.187544,-384410.8437
9500000,-389630.3923,-5206.744238,-384423.6481
9520000,-389659.0119,-5201.714754,-384457.2971
9540000,-389668.2002,-5204.826748,-384463.3734
9560000,-389596.0598,-5202.400082,-384393.6597
9580000,-389639.096,-5208.056808,-384431.0392
9600000,-389649.0628,-5210.910555,-384438.1522
9620000,-389650.5469,-5219.153297,-384431.3936
9640000,-389677.6709,-5222.347679,-384455.3232
9660000,-389609.4708,-5217.579032,-384391.8917
9680000,-389644.3955,-5217.338835,-384427.0567
9700000,-389591.1204,-5215.0291,-384376.0913
9720000,-389636.7392,-5214.073879,-384422.6653
9740000,-389604.1283,-5216.156642,-384387.9717
9760000,-389668.4452,-5227.202801,-384441.2424
9780000,-389662.0652,-5231.162552,-384430.9026
9800000,-389613.0241,-5219.637564,-384393.3865
9820000,-389683.7691,-5225.820607,-384457.9485
9840000,-389690.4141,-5235.023653,-384455.3904
9860000,-389710.319,-5227.684795,-384482.6342
9880000,-389673.1996,-5225.612227,-384447.5873
9900000,-389674.8051,-5226.606544,-384448.1986
9920000,-389630.9423,-5227.303452,-384403.6389
9940000,-389643.0022,-5225.169963,-384417.8323
9960000,-389678.9747,-5231.013326,-384447.9613
9980000,-389671.9459,-5224.548624,-384447.3973
10000000,-389671.7256,-5227.884596,-384443.841
10020000,-389623.5216,-5230.715569,-384392.806
10040000,-389651.9479,-5225.038635,-384426.9093
10060000,-389638.6507,-5220.752427,-384417.8982
10080000,-389654.3853,-5216.101773,-384438.2836
10100000,-389687.9094,-5223.575081,-384464.3343
10120000,-389639.8408,-5223.411597,-384416.4292
10140000,-389666.9125,-5222.389131,-384444.5233
10160000,-389645.6724,-5222.061575,-384423.6108
10180000,-389572.6848,-5222.303615,-384350.3812
10200000,-389644.6963,-5226.575695,-384418.1206
10220000,-389690.8153,-5224.119283,-384466.696
10240000,-389679.7281,-5226.490779,-384453.2373
10260000,-389743.716,-5226.186669,-384517.5293
10280000,-389739.428,-5232.249844,-384507.1781
10300000,-389695.7006,-5231.341861,-384464.3588
10320000,-389679.6839,-5225.840126,-384453.8438
10340000,-389656.6848,-5224.388299,-384432.2965
10360000,-389726.7865,-5237.552775,-384489.2337
10380000,-389688.3468,-5237.609154,-384450.7376
10400000,-389655.9665,-5228.720006,-384427.2465
10420000,-389677.091,-5226.856375,-384450.2347
10440000,-389671.38,-5231.375967,-384440.0041
10460000,-389682.0183,-5232.826485,-384449.1918
10480000,-389715.3539,-5238.292348,-384477.0616
10500000,-389649.5749,-5235.91674,-384413.6581
10520000,-389695.8497,-5241.05795,-384454.7917
10540000,-389715.1349,-5238.139145,-384476.9958
10560000,-389686.1312,-5226.404484,-384459.7267
10580000,-389660.2315,-5232.469254,-384427.7622
10600000,-389731.4699,-5223.609295,-384507.8606
10620000,-389709.988,-5227.231413,-384482.7566
10640000,-389687.5013,-5228.589762,-384458.9116
10660000,-389772.8563,-5239.781396,-384533.0749
10680000,-389705.0892,-5238.550827,-384466.5384
10700000,-389704.123,-5251.294297,-384452.8288
10720000,-389713.5731,-5240.563639,-384473.0095
10740000,-389735.7217,-5251.656444,-384484.0652
10760000,-389682.7878,-5249.620584,-384433.1672
10780000,-389707.3372,-5247.358586,-384459.9786
10800000,-389682.0489,-5246.136683,-384435.9122
10820000,-389720.6543,-5250.102539,-384470.5518
10840000,-389718.4629,-5247.51025,-384470.9527
10860000,-389674.6264,-5248.015497,-384426.6109
10880000,-389665.9902,-5246.427252,-384419.5629
10900000,-389709.8716,-5242.401387,-384467.4702
10920000,-389690.4221,-5247.985747,-384442.4364
10940000,-389690.1215,-5252.32619,-384437.7953
10960000,-389678.0929,-5253.092025,-384425.0009
10980000,-389674.3596,-5247.572417,-384426.7872
11000000,-389715.5303,-5239.25967,-384476.2706
11020000,-389717.9213,-5242.242908,-384475.6784
11040000,-389743.0139,-5238.959693,-384504.0542
11060000,-389694.042,-5242.399832,-384451.6421
11080000,-389703.7747,-5252.571858,-384451.2028
11100000,-389680.5675,-5248.253342,-384432.3142
11120000,-389730.4434,-5261.612255,-384468.8312
11140000,-389671.7393,-5260.291179,-384411.4481
11160000,-389729.1183,-5267.604352,-384461.5139
11180000,-389683.8137,-5259.61816,-384424.1956
11200000,-389669.9635,-5267.433878,-384402.5297
11220000,-389663.0171,-5270.614156,-384392.4029
11240000,-389715.201,-5263.831278,-384451.3697
11260000,-389672.2453,-5262.676996,-384409.5683
11280000,-389696.1649,-5263.659641,-384432.5053
11300000,-389732.8006,-5276.125499,-384456.6751
11320000,-389731.1847,-5273.199872,-384457.9848
11340000,-389728.3821,-5271.898975,-384456.4831
11360000,-389742.5635,-5269.796637,-384472.7669
