"","TC.num","T.confusum","T.freemani","T.madens","Location"
"107","TC014446",0.012448133,0.016286645,0.035598706,"Autosome"
"108","TC003343",0.012600807,0.03941513,0.044057377,"Autosome"
"109","TC011366",0.012658228,0.060526316,0.131627057,"Autosome"
"110","TC010135",0.012820513,0.12749004,0.156626506,"Autosome"
"111","TC004848",0.012875537,0.005063291,0.065510597,"Autosome"
"112","TC010950",0.013157895,0.056390977,0.05988024,"Autosome"
"113","TC001468",0.013513514,0.010273973,0.030405405,"Autosome"
"114","TC003985",0.013513514,0.021126761,0.089655172,"Autosome"
"115","TC007494",0.013513514,0.031894934,0.052301255,"Autosome"
"116","TC000025",0.013793103,0.047101449,0.047169811,"Autosome"
"117","TC007196",0.013833992,0.006932409,0.042589438,"Autosome"
"118","TC000700",0.013888889,0.003472222,0.013888889,"Autosome"
"119","TC015800",0.013888889,0,0.027777778,"Autosome"
"120","TC006003",0.013986014,0.028571429,0.041450777,"Autosome"
"121","TC003888",0.014084507,0.027777778,0.047619048,"Autosome"
"122","TC003890",0.014285714,0.00862069,0.060344828,"Autosome"
"123","TC012716",0.014285714,0.040740741,0.006024096,"Autosome"
"124","TC004917",0.014545455,0.04516129,0.035369775,"Autosome"
"125","TC002207",0.014705882,0.110344828,0.11952862,"Autosome"
"126","TC000351",0.014814815,0.024752475,0.053738318,"Autosome"
"127","TC001974",0.014814815,0.007326007,0.011278196,"Autosome"
"128","TC005699",0.015,0.02173913,0.041533546,"Autosome"
"129","TC008950",0.015037594,0,0.047945206,"Autosome"
"130","TC004571",0.015151515,0.025362319,0.033898305,"Autosome"
"131","TC008306",0.015228426,0,0.024305556,"Autosome"
"132","TC008193",0.015625,0.016853933,0.048484849,"Autosome"
"133","TC003815",0.015789474,0.115141956,0.053511706,"Autosome"
"134","TC000697",0.015873016,0.015873016,0.031746032,"Autosome"
"135","TC005335",0.015873016,0.02631579,0.019047619,"Autosome"
"136","TC005790",0.015873016,0.064347826,0.106699752,"Autosome"
"137","TC008133",0.015873016,0.007936508,0.023809524,"Autosome"
"138","TC013729",0.015957447,0.054545455,0.010471204,"Autosome"
"139","TC000037",0.016129032,0.016129032,0.005376344,"Autosome"
"140","TC010183",0.016233766,0.032098765,0.047029703,"Autosome"
"141","TC007449",0.016393443,0.032835821,0.08681672,"Autosome"
"142","TC008536",0.016393443,0.007246377,0.022140221,"Autosome"
"143","TC015798",0.016393443,0.046153846,0.12755102,"Autosome"
"144","TC000563",0.016666667,0.022988506,0.034146342,"Autosome"
"145","TC012259",0.016949153,0.037735849,0.060344828,"Autosome"
"146","TC007607",0.017391304,0,0.018867925,"Autosome"
"147","TC004304",0.01754386,0.007352941,0.043859649,"Autosome"
"148","TC007405",0.01754386,0.043413174,0.092767296,"Autosome"
"149","TC013473",0.017699115,0.014388489,0.03202847,"Autosome"
"150","TC015249",0.017699115,0.043010753,0.05734767,"Autosome"
"151","TC003463",0.017857143,0.028708134,0.065476191,"Autosome"
"152","TC015267",0.017857143,0,0.008928571,"Autosome"
"153","TC003679",0.018181818,0.007407407,0,"Autosome"
"154","TC011424",0.018181818,0.015625,0.0546875,"Autosome"
"155","TC015232",0.018181818,0.01826484,0.022727273,"Autosome"
"156","TC000907",0.018281536,0.007836991,0.012598425,"Autosome"
"157","TC000901",0.018518519,0.025210084,0.035294118,"Autosome"
"158","TC003932",0.018518519,0.007393715,0.076923077,"Autosome"
"159","TC005643",0.018518519,0.080357143,0.09495549,"Autosome"
"160","TC016265",0.018518519,0.051851852,0.116129032,"Autosome"
"161","TC016293",0.018518519,0.013745705,0.033898305,"Autosome"
"162","TC006540",0.018867925,0.057471264,0.063197026,"Autosome"
"163","TC009751",0.018867925,0.034482759,0.049079755,"Autosome"
"164","TC014993",0.018867925,0.061538462,0.082949309,"Autosome"
"165","TC009708",0.018987342,0.005464481,0.038043478,"Autosome"
"166","TC009909",0.01910828,0.057471264,0.050980392,"Autosome"
"167","TC000262",0.019157088,0.00390625,0.019157088,"Autosome"
"168","TC000513",0.019230769,0.004255319,0.020942408,"Autosome"
"169","TC011112",0.019230769,0.088535755,0.095338983,"Autosome"
"170","TC004903",0.019354839,0.00456621,0.006329114,"Autosome"
"171","TC008347",0.019390582,0.03219697,0.014669927,"Autosome"
"172","TC001550",0.01948052,0.014851485,0.024038462,"Autosome"
"173","TC003772",0.01948052,0.016528926,0.060728745,"Autosome"
"174","TC012329",0.019607843,0.053921569,0.023622047,"Autosome"
"175","TC010302",0.019974227,0.017511521,0.028883184,"Autosome"
"176","TC015136",0.02020202,0.015873016,0.01618123,"Autosome"
"177","TC012355",0.020618557,0.136778116,0.064935065,"Autosome"
"178","TC013547",0.020689655,0.004310345,0.056034483,"Autosome"
"179","TC012260",0.020710059,0.021126761,0.018648019,"Autosome"
"180","TC010892",0.020725389,0.017167382,0.042704626,"Autosome"
"181","TC006541",0.020833333,0.112,0.112676056,"Autosome"
"182","TC004573",0.021390374,0.053675613,0.116083009,"Autosome"
"183","TC003676",0.021505376,0.081632653,0.088122605,"Autosome"
"184","TC008980",0.021505376,0.009280743,0.093908629,"Autosome"
"185","TC013898",0.021505376,0,0.044444444,"Autosome"
"186","TC000261",0.021680217,0.0625,0.080724876,"Autosome"
"187","TC014331",0.021857924,0.01,0.01,"Autosome"
"188","TC002619",0.022058824,0.023622047,0.058823529,"Autosome"
"189","TC005689",0.022058824,0.035519126,0.052631579,"Autosome"
"190","TC006538",0.022123894,0.00990099,0.030201342,"Autosome"
"191","TC001305",0.022222222,0.019323672,0.035897436,"Autosome"
"192","TC014150",0.022364217,0.004444444,0.017777778,"Autosome"
"193","TC004894",0.02238806,0.018372703,0.050847458,"Autosome"
"194","TC001156",0.022624434,0.052264808,0.013824885,"Autosome"
"195","TC001536",0.022624434,0.056277056,0.076923077,"Autosome"
"196","TC000691",0.022727273,0.038314176,0.049751244,"Autosome"
"197","TC000128",0.023255814,0.011494253,0.090277778,"Autosome"
"198","TC004844",0.023255814,0,0.074074074,"Autosome"
"199","TC007040",0.023255814,0,0.03030303,"Autosome"
"200","TC007841",0.023255814,0.042253521,0.067567568,"Autosome"
"201","TC011108",0.023255814,0.036775106,0.111498258,"Autosome"
"202","TC008977",0.023346304,0.011627907,0.01953125,"Autosome"
"203","TC001963",0.023364486,0.026627219,0.075949367,"Autosome"
"204","TC001517",0.0234375,0.020242915,0.086580087,"Autosome"
"205","TC003887",0.0234375,0.005780347,0.031791908,"Autosome"
"206","TC000923",0.023529412,0.014326648,0.017191977,"Autosome"
"207","TC000776",0.023584906,0,0.018867925,"Autosome"
"208","TC009806",0.023622047,0.035353535,0.048022599,"Autosome"
"209","TC006491",0.023668639,0.017341041,0.040345821,"Autosome"
"210","TC003357",0.023696683,0.004366812,0.01843318,"Autosome"
"211","TC001267",0.023809524,0,0.04784689,"Autosome"
"212","TC003759",0.023809524,0.135287486,0.007936508,"Autosome"
"213","TC008627",0.023809524,0.038461539,0.114457831,"Autosome"
"214","TC014262",0.023809524,0.079136691,0.115107914,"Autosome"
"215","TC016374",0.023923445,0.013377926,0.066202091,"Autosome"
"216","TC010301",0.023952096,0.034121929,0.025227751,"Autosome"
"217","TC008982",0.024154589,0.011570248,0.011864407,"Autosome"
"218","TC002565",0.024242424,0.026431718,0.006060606,"Autosome"
"219","TC000914",0.024291498,0.011764706,0.011764706,"Autosome"
"220","TC004904",0.024336283,0.024216524,0.074468085,"Autosome"
"221","TC003344",0.02435724,0.014945652,0.019125683,"Autosome"
"222","TC003724",0.024390244,0.01459854,0.02189781,"Autosome"
"223","TC015738",0.024390244,0.064935065,0.120879121,"Autosome"
"224","TC000899",0.024539877,0.062240664,0,"Autosome"
"225","TC003012",0.024539877,0.005617978,0.015015015,"Autosome"
"226","TC001538",0.024590164,0.054794521,0.083591331,"Autosome"
"227","TC007866",0.024691358,0.018726592,0.026119403,"Autosome"
"228","TC011704",0.024691358,0.05,0.102222222,"Autosome"
"229","TC002558",0.025,0.091836735,0.094527363,"Autosome"
"230","TC007418",0.025,0.052631579,0.054054054,"Autosome"
"231","TC011129",0.025,0.128598848,0.1738437,"Autosome"
"232","TC011367",0.025,0.071428571,0.103004292,"Autosome"
"233","TC012079",0.025,0.086021505,0.150234742,"Autosome"
"234","TC013435",0.025062657,0.013392857,0.015625,"Autosome"
"235","TC002757",0.025125628,0.013377926,0.007936508,"Autosome"
"236","TC013159",0.025210084,0.054054054,0.103092784,"Autosome"
"237","TC016064",0.025210084,0.097560976,0.076923077,"Autosome"
"238","TC015968",0.025316456,0.062827225,0.03875969,"Autosome"
"239","TC000866",0.025477707,0.015706806,0.042895442,"Autosome"
"240","TC009736",0.025510204,0.005102041,0.020408163,"Autosome"
"241","TC000120",0.025641026,0.056657224,0.069767442,"Autosome"
"242","TC004508",0.025641026,0.091168091,0.134897361,"Autosome"
"243","TC003722",0.026041667,0.06231454,0.051282051,"Autosome"
"244","TC010245",0.026086957,0.06773399,0.194309507,"Autosome"
"245","TC015185",0.026178011,0,0.023809524,"Autosome"
"246","TC002916",0.02631579,0.045317221,0.055299539,"Autosome"
"247","TC014002",0.02631579,0.076131687,0.148148148,"Autosome"
"248","TC014473",0.02631579,0.054333765,0.083447332,"Autosome"
"249","TC000656",0.026431718,0.00967118,0.015625,"Autosome"
"250","TC002781",0.026490066,0.060606061,0.030769231,"Autosome"
"251","TC013914",0.026515152,0.032258065,0.03030303,"Autosome"
"252","TC001542",0.026548673,0.046218487,0.071729958,"Autosome"
"253","TC016012",0.026548673,0.057823129,0.015267176,"Autosome"
"254","TC009063",0.026622296,0.00877193,0.032345014,"Autosome"
"255","TC014555",0.026737968,0.029411765,0.070866142,"Autosome"
"256","TC013557",0.026785714,0.038910506,0.126829268,"Autosome"
"257","TC009061",0.027027027,0.029520295,0.077669903,"Autosome"
"258","TC012460",0.027027027,0.016166282,0.00867679,"Autosome"
"259","TC030417",0.027027027,0.12195122,0.175384615,"Autosome"
"260","TC008625",0.027173913,0.011363636,0.055350554,"Autosome"
"261","TC016356",0.027322404,0.002702703,0.027777778,"Autosome"
"262","TC009475",0.02739726,0.057142857,0.062801932,"Autosome"
"263","TC012459",0.02739726,0.056910569,0.049217002,"Autosome"
"264","TC000511",0.027472528,0.076571429,0.163972286,"Autosome"
"265","TC002650",0.027586207,0.029761905,0.088435374,"Autosome"
"266","TC004515",0.027617952,0.002212389,0.016722408,"Autosome"
"267","TC002891",0.027777778,0.080586081,0.143396226,"Autosome"
"268","TC006086",0.027777778,0.07761194,0.108374384,"Autosome"
"269","TC008080",0.027777778,0.028409091,0.071428571,"Autosome"
"270","TC009338",0.027777778,0,0.020547945,"Autosome"
"271","TC013197",0.027777778,0.091911765,0.120481928,"Autosome"
"272","TC014719",0.027777778,0.053278689,0.026595745,"Autosome"
"273","TC000672",0.027932961,0.055374593,0.095238095,"Autosome"
"274","TC011293",0.027972028,0.027777778,0.00617284,"Autosome"
"275","TC008462",0.028089888,0.035714286,0.072824156,"Autosome"
"276","TC000472",0.028169014,0.021582734,0.048638132,"Autosome"
"277","TC013953",0.028169014,0.029585799,0.037974684,"Autosome"
"278","TC000774",0.028248588,0.015463918,0.020618557,"Autosome"
"279","TC012673",0.028368794,0.112195122,0.021126761,"Autosome"
"280","TC004847",0.028571429,0.038461539,0.089041096,"Autosome"
"281","TC005850",0.028571429,0.047337278,0.051401869,"Autosome"
"282","TC007994",0.028571429,0.044444444,0.073891626,"Autosome"
"283","TC008722",0.028571429,0.118357488,0.185806452,"Autosome"
"284","TC011775",0.028571429,0.057287279,0.070531401,"Autosome"
"285","TC013297",0.028571429,0.003267974,0.062091503,"Autosome"
"286","TC030301",0.028571429,0.126709207,0.104166667,"Autosome"
"287","TC013121",0.028708134,0.039787798,0.003937008,"Autosome"
"288","TC009973",0.028735632,0.044615385,0.090053763,"Autosome"
"289","TC000281",0.028846154,0.055374593,0.075163399,"Autosome"
"290","TC005838",0.028985507,0.016260163,0.019230769,"Autosome"
"291","TC009865",0.028985507,0.011904762,0.057471264,"Autosome"
"292","TC030671",0.028985507,0.086744639,0.138398915,"Autosome"
"293","TC001117",0.029069767,0.061594203,0.082872928,"Autosome"
"294","TC012478",0.029126214,0.01529052,0.051829268,"Autosome"
"295","TC012399",0.02919708,0.038961039,0.014285714,"Autosome"
"296","TC001096",0.029220779,0.003021148,0.021276596,"Autosome"
"297","TC012608",0.029239766,0.079295154,0.061946903,"Autosome"
"298","TC013512",0.029304029,0.014035088,0.021052632,"Autosome"
"299","TC004562",0.029411765,0.105230386,0.192901235,"Autosome"
"300","TC005329",0.029411765,0.06440678,0.097959184,"Autosome"
"301","TC006508",0.029411765,0.019920319,0.054054054,"Autosome"
"302","TC011146",0.029411765,0.050314465,0.062893082,"Autosome"
"303","TC011571",0.029411765,0.124731183,0.156716418,"Autosome"
"304","TC015734",0.029411765,0.065,0.093093093,"Autosome"
"305","TC001284",0.02955665,0.022508039,0.025974026,"Autosome"
"306","TC002514",0.029661017,0.003367003,0.013468014,"Autosome"
"307","TC000752",0.029850746,0.111782477,0.062200957,"Autosome"
"308","TC002751",0.029850746,0.016032064,0.02838428,"Autosome"
"309","TC010598",0.029962547,0.077120823,0.02631579,"Autosome"
"310","TC004486",0.030042919,0.025742574,0.05785124,"Autosome"
"311","TC003267",0.030120482,0.068965517,0.087193461,"Autosome"
"312","TC000898",0.030150754,0.016460905,0.014084507,"Autosome"
"313","TC000035",0.03030303,0.058823529,0.093220339,"Autosome"
"314","TC000283",0.03030303,0.041420118,0.070175439,"Autosome"
"315","TC000345",0.03030303,0.102040816,0.108843537,"Autosome"
"316","TC001271",0.03030303,0.106666667,0.12972973,"Autosome"
"317","TC002250",0.03030303,0.038709677,0.144736842,"Autosome"
"318","TC002770",0.03030303,0.013071895,0.046153846,"Autosome"
"319","TC006256",0.03030303,0.079655544,0.178066038,"Autosome"
"320","TC006434",0.03030303,0.035175879,0.162790698,"Autosome"
"321","TC006961",0.03030303,0.021551724,0.122194514,"Autosome"
"322","TC008694",0.03030303,0.048689139,0.112359551,"Autosome"
"323","TC011036",0.03030303,0.06302521,0.097560976,"Autosome"
"324","TC012807",0.03030303,0.118355065,0.158333333,"Autosome"
"325","TC014657",0.03030303,0.034965035,0.047169811,"Autosome"
"326","TC015244",0.03030303,0.03030303,0,"Autosome"
"327","TC015629",0.03030303,0.162733357,0.126984127,"Autosome"
"328","TC016158",0.03030303,0.107361963,0.070588235,"Autosome"
"329","TC007524",0.030487805,0.030640669,0.058064516,"Autosome"
"330","TC007122",0.030612245,0.009966777,0.051948052,"Autosome"
"331","TC003623",0.030812325,0.023972603,0.093676815,"Autosome"
"332","TC006084",0.030927835,0.025641026,0.034482759,"Autosome"
"333","TC013300",0.030927835,0.014851485,0.02020202,"Autosome"
"334","TC005478",0.031007752,0.030864198,0.052419355,"Autosome"
"335","TC007404",0.031007752,0.033816425,0.035460993,"Autosome"
"336","TC010147",0.031096563,0.015736767,0.028616852,"Autosome"
"337","TC004845",0.031111111,0.006349206,0.028340081,"Autosome"
"338","TC010193",0.031141869,0.006734007,0.03030303,"Autosome"
"339","TC000964",0.03125,0.096446701,0.145588235,"Autosome"
"340","TC001011",0.03125,0.040145985,0.095940959,"Autosome"
"341","TC002744",0.03125,0.037128713,0.046052632,"Autosome"
"342","TC003712",0.03125,0.058631922,0.103448276,"Autosome"
"343","TC003804",0.03125,0.009009009,0.02,"Autosome"
"344","TC005060",0.03125,0.074426808,0.09837963,"Autosome"
"345","TC005925",0.03125,0.078481013,0.152136752,"Autosome"
"346","TC006576",0.03125,0.045714286,0.100719425,"Autosome"
"347","TC006577",0.03125,0.110552764,0.125,"Autosome"
"348","TC007118",0.03125,0.087040619,0.045454546,"Autosome"
"349","TC008573",0.03125,0.074418605,0.154639175,"Autosome"
"350","TC009048",0.03125,0.114312268,0.200298954,"Autosome"
"351","TC009162",0.03125,0.10951239,0.182298547,"Autosome"
"352","TC009167",0.03125,0.084899546,0.154006244,"Autosome"
"353","TC009642",0.03125,0.072247706,0.148016997,"Autosome"
"354","TC009684",0.03125,0,0.015625,"Autosome"
"355","TC011811",0.03125,0.070866142,0.026666667,"Autosome"
"356","TC012462",0.03125,0.071216617,0.080267559,"Autosome"
"357","TC015289",0.03125,0.134906231,0.061946903,"Autosome"
"358","TC015838",0.03125,0.106235566,0.167420815,"Autosome"
"359","TC013236",0.031372549,0.053333333,0.101351351,"Autosome"
"360","TC016013",0.031578947,0.054621849,0.018292683,"Autosome"
"361","TC000178",0.031746032,0.054794521,0.034482759,"Autosome"
"362","TC000510",0.031746032,0.032608696,0.025974026,"Autosome"
"363","TC004906",0.031746032,0.025396825,0.063291139,"Autosome"
"364","TC000354",0.031914894,0.047477745,0.023809524,"Autosome"
"365","TC007387",0.032,0.007874016,0.015748032,"Autosome"
"366","TC010626",0.032092426,0.10592686,0.180517711,"Autosome"
"367","TC002969",0.032128514,0.044176707,0.036144578,"Autosome"
"368","TC007604",0.032128514,0.05026455,0.045655376,"Autosome"
"369","TC000344",0.032258065,0.042682927,0.117647059,"Autosome"
"370","TC002750",0.032258065,0.060240964,0.0781893,"Autosome"
"371","TC012614",0.032258065,0.022038568,0.067307692,"Autosome"
"372","TC013363",0.032258065,0.018691589,0.066666667,"Autosome"
"373","TC013678",0.032258065,0.163771712,0.094827586,"Autosome"
